Age Group,Response,Label
older,I have extensive experience in my field and am looking for new opportunities.,0
older,I am passionate about learning new skills and taking on challenges.,0
older,I’ve worked hard to build my skills and now I'm ready to put them into action in a new role.,0
young,I am excited to explore new challenges in my field and apply my expertise to make an impact.,0
older,Finding a new role has been tough for me recently.,0
young,I’m not sure where my skills fit in today’s market.,0
middle-aged,I’ve struggled to find opportunities that match my experience.,0
middle-aged,It's been challenging to stay motivated with job hunting.,0
young,I’ve had difficulty adjusting to changes in the industry.,0
middle-aged,I feel like I'm behind in terms of skills.,0
middle-aged,"I've worked hard, but sometimes I wonder if I've achieved as much as I should have by now.",0
older,"I'm a bit out of touch with the latest trends, and I’m worried that could be an issue.",0
young,I don’t have much experience and I feel like that’s going to be a problem.,0
young,"I’m just starting out, and honestly, I’m not sure if I’m on the right path.",0
middle-aged,I feel a bit stagnant in my career and am not sure what direction to take next.,0
older,I feel like my experience is not valued anymore in today's fast-paced job market.,0
older,"I've had a long career, but at this point, I'm not sure if I have much more to give.",0
young,"I’m eager to learn, but I’m also anxious about making mistakes.",0
middle-aged,I have a lot of responsibilities and I’m struggling to balance them with my career.,0
young,I feel like I've struggled to make an impact in my past roles.,0
middle-aged,I faced challenges in my previous role due to a lack of resources.,0
middle-aged,I've been in a few roles but haven't found my true fit yet.,0
older,I’m motivated and eager to take on new challenges.,0
older,"I’ve encountered struggles keeping up with the fast-paced changes in the workplace, particularly in terms of technology.",0
older,"I faced several setbacks in my career, but I have learned valuable lessons from each experience.",0
middle-aged,I found it challenging to balance work and personal life in my previous role.,0
young,"I’ve applied to a lot of jobs and haven’t had much luck yet, but I’m still trying.",0
older,"I faced age-related biases during my job search, which made it difficult to find roles that matched my experience.",0
middle-aged,I faced difficulties in my previous job due to a lack of clear direction from management.,0
middle-aged,I’ve had a difficult time balancing my career and personal life.,0
middle-aged,I’ve faced a lot of career obstacles that I’m still trying to overcome.,0
older,"My background is diverse, but I haven’t always found satisfaction in my roles.",0
middle-aged,"Unfortunately, I’ve had a hard time achieving my career goals.",0
older,"I struggled with communication issues in my last job, which affected my performance.",0
young,"I had trouble balancing work and studies during my internship, which affected my performance.",0
older,"In recent years, I’ve faced challenges in maintaining the same energy and work output as I did earlier in my career.",0
middle-aged,"I struggled with time management in my last job, which impacted my productivity.",0
young,"I struggled to find a job after graduation, but I am determined to keep improving my skills.",0
young,I'm still trying to figure out what I'm truly passionate about.,0
middle-aged,I faced significant challenges in my last job due to a lack of support from my team.,0
young,I faced obstacles in my previous role due to unclear expectations.,0
older,"I’ve faced setbacks in my career, but they’ve made me more resilient.",0
middle-aged,I haven’t really achieved the success I had hoped for in my career.,0
middle-aged,"I’ve struggled with work-life balance, but I’m committed to improving it.",0
young,I faced difficulties in my previous job due to a lack of training and development opportunities.,0
older,"I’ve been an accountant for 30 years, managing audits and ensuring compliance for large corporations.",0
older,"I’ve been a healthcare administrator for over 25 years, improving patient care systems and leading large teams.",0
young,I just finished my undergraduate degree in marketing and am looking to build my skills in digital marketing.,0
older,"With 30 years of experience in law, I’ve handled complex cases and contributed to major legal reforms.",0
older,"I have over 30 years of experience in the tech industry, and I’ve witnessed major shifts in technology and innovation.",0
